"U_0 [eV]","-564.33235"

"Q [amu^1/2 A]","U(Q) [eV]","dU(Q) [meV]"
"-10.0","-564.62198","-289.6299999999883"
"-9.5","-564.62706","-294.71000000000913"
"-9.0","-564.62519","-292.8399999999556"
"-8.5","-564.61744","-285.0899999999683"
"-8.0","-564.6048","-272.44999999993524"
"-7.5","-564.58822","-255.86999999995896"
"-7.0","-564.56859","-236.2399999999525"
"-6.5","-564.54684","-214.48999999995522"
"-6.0","-564.52356","-191.20999999995547"
"-5.5","-564.49958","-167.23000000001775"
"-5.0","-564.4755","-143.14999999999145"
"-4.5","-564.45193","-119.57999999992808"
"-4.0","-564.42892","-96.56999999992877"
"-3.5","-564.4081","-75.7499999999709"
"-3.0","-564.38915","-56.79999999995289"
"-2.5","-564.37249","-40.139999999951215"
"-2.0","-564.35838","-26.02999999999156"
"-1.5","-564.34712","-14.769999999998618"
"-1.0","-564.33896","-6.6100000000233194"
"-0.5","-564.33402","-1.6699999999900683"
"0.0","-564.33235","0.0"
"0.5","-564.33402","-1.6699999999900683"
"1.0","-564.33896","-6.6100000000233194"
"1.5","-564.34712","-14.769999999998618"
"2.0","-564.35838","-26.02999999999156"
"2.5","-564.37249","-40.139999999951215"
"3.0","-564.38915","-56.79999999995289"
"3.5","-564.4081","-75.7499999999709"
"4.0","-564.42892","-96.56999999992877"
"4.5","-564.45112","-118.76999999992677"
"5.0","-564.47428","-141.9300000000021"
"5.5","-564.4978","-165.44999999996435"
"6.0","-564.52099","-188.63999999996395"
"6.5","-564.54331","-210.96000000000004"
"7.0","-564.56396","-231.60999999993237"
"7.5","-564.58209","-249.73999999997432"
"8.0","-564.59692","-264.56999999993513"
"8.5","-564.60746","-275.1099999999269"
"9.0","-564.61278","-280.43000000002394"
"9.5","-564.61182","-279.4699999999466"
"10.0","-564.60348","-271.129999999971"
